id,firstName,lastName,house,street,city,state,zip,prod,tag
47,Edna,Davis,29,Gabgev Circle,Zucufesu,NV,16220,Phone,BLUE
48,Larry,Porter,22,Wigola Court,Honevvu,NE,99973,Tablet,WHITE
49,Leroy,Blair,35,Rawu Place,Favcauso,AR,45024,Laptop,YELLOW
50,Mary,Newton,42,Tupbo Manor,Epiirfe,MO,00387,Phone,RED
51,Lydia,Harper,20,Rilin River,Pucotpoc,AK,74030,Misc,GREEN
52,Theodore,Underwood,50,Divig Center,Ibocuvfu,WI,37869,Misc,GREEN
53,Gordon,Torres,23,Joojo Junction,Usonovnoj,LA,97592,Misc,BLUE
54,Ada,Horton,53,Nepjim Path,Nolozwe,NH,00843,Phone,BLUE
55,David,Perkins,52,Rituso Grove,Zinimafo,NV,03723,Desktop,BLUE
56,Douglas,Wells,56,Pesdad Mill,Luzoajo,LA,10395,Desktop,WHITE
57,Sarah,Meyer,51,Muwnac Heights,Jiatoze,OK,23382,Laptop,WHITE
58,Harriett,Page,34,Gedgis Boulevard,Agpuzdon,UT,51135,Phone,BLUE
59,Travis,Blair,48,Tobif Highway,Olivabda,SC,21167,Desktop,YELLOW
60,Mayme,Page,27,Itilep Square,Ipiwezeze,PA,00877,Tablet,BLUE
61,Myrtie,Caldwell,37,Fiemu Street,Gotnijuc,NE,86089,Laptop,YELLOW
62,Dennis,Lopez,29,Rozgek Ridge,Lefetjo,WA,97682,Misc,RED
63,Henrietta,Stokes,61,Jirvi Loop,Uwofacvum,CO,54515,Misc,YELLOW
64,Zachary,Cole,38,Wele Park,Kiwwaeh,NE,94894,Desktop,YELLOW
65,Fannie,Rodriquez,64,Noka Point,Esdojmol,GA,57186,Misc,BLUE
66,Jane,Moran,52,Ilided Pike,Huposo,CO,31260,Desktop,BLUE
67,Troy,Glover,54,Abbi Highway,Apoattav,MN,20323,Phone,BLUE
68,Matthew,Armstrong,24,Baolo Plaza,Pezasujep,MO,48821,Phone,RED
69,Dean,Myers,33,Vesas Point,Siihco,WA,61567,Laptop,BLUE
70,Nora,Dawson,63,Cenob Junction,Sahewilu,TX,77371,Tablet,WHITE
71,Inez,Perkins,32,Cuccu Highway,Jomzeco,OR,52721,Tablet,RED
72,Madge,Henry,53,Vabus Plaza,Ikosapa,KS,05230,Tablet,BLUE
73,Rose,Ballard,50,Uhobug Path,Upgiwdov,WA,29181,Phone,YELLOW
74,Ivan,Ford,25,Cauk Key,Sekcawove,OH,59652,Laptop,BLUE
75,Lucille,George,47,Gubi Trail,Ugofodzu,ID,30251,Tablet,YELLOW
76,Verna,Ross,59,Binuc Grove,Jehbofil,IA,57381,Phone,WHITE
77,Glenn,Collier,48,Idehul Place,Zuchijap,MN,31271,Tablet,RED
78,Adrian,Pittman,49,Huble Manor,Kiwjitwa,FL,58177,Phone,WHITE
79,Josie,Ray,54,Ebjep Junction,Nigtuwu,LA,65283,Desktop,BLUE
80,Isabella,Colon,35,Ducker Plaza,Gihrugud,IL,80624,Laptop,BLUE
81,Charlotte,Ruiz,25,Ipamud Square,Ligwadjom,NE,83611,Phone,WHITE
82,Bernice,Allison,44,Disvuz Junction,Ragvevvo,IN,56714,Misc,GREEN
83,Bessie,Gardner,64,Sati Point,Nozcivju,IA,65225,Laptop,YELLOW
84,Phillip,Adams,41,Gadna Street,Zamesolu,ID,98557,Laptop,YELLOW
85,Charlie,Wagner,60,Gocak Manor,Dahacme,AR,39174,Misc,RED
86,Eddie,Lloyd,64,Bebte Plaza,Sijukme,NM,02828,Tablet,GREEN
87,Eleanor,Ortiz,27,Dojubi Junction,Aghahso,KS,55882,Misc,RED
88,Douglas,Sutton,19,Urko Highway,Lupepeba,MT,59614,Laptop,YELLOW
89,Sophia,Medina,57,Osokaf Lane,Bosleoto,DE,82675,Tablet,BLUE
90,Pauline,Johnson,52,Mejma Place,Vealeuto,RI,61925,Desktop,RED
91,Christina,Haynes,51,Mafbu Road,Wibkilid,AR,29809,Desktop,YELLOW
92,Adeline,McKinney,35,Gera Heights,Finoege,WV,58856,Misc,RED
93,Gavin,Massey,37,Zilo Square,Rusictul,ND,18197,Phone,RED
94,Callie,Willis,38,Ziuni Lane,Tuekhu,MN,90933,Desktop,GREEN
95,Annie,Lamb,49,Desic Street,Debdiono,AR,20934,Tablet,WHITE
96,Bettie,Howell,21,Jewta Circle,Optebvo,GA,07521,Misc,BLUE
97,Augusta,Houston,41,Ranoh Road,Tijmugsi,TX,65954,Laptop,WHITE
98,Sue,Robbins,63,Utehu Boulevard,Geomizap,CA,56263,Tablet,YELLOW
99,Brett,Curtis,28,Ozce Glen,Podele,MT,61379,Laptop,BLUE
100,Dora,Cross,63,Mesac Lane,Ziopwa,SD,16340,Misc,WHITE
101,Hilda,Dawson,61,Mava Highway,Setvikut,WY,52300,Phone,GREEN
102,Rose,Austin,23,Pekcij Highway,Kewwibwe,ND,46707,Laptop,BLUE
103,Joshua,Clayton,53,Filso Turnpike,Aragelwo,LA,74451,Laptop,YELLOW
104,Jennie,Wilkerson,61,Wosfo Pass,Ekozeuk,WY,07077,Laptop,WHITE
105,Craig,Mitchell,57,Jinat Point,Oronoze,NE,50804,Misc,GREEN
106,Ida,Benson,25,Abugif Street,Maonuwuh,DE,00157,Desktop,WHITE
107,Hallie,Long,52,Jenu River,Wifuhivo,WI,89133,Misc,YELLOW
108,Dean,Becker,30,Etotaw Key,Cawakfab,IL,95337,Desktop,RED
109,Francisco,Taylor,39,Zolfa Extension,Sacepov,DE,74587,Phone,BLUE
110,Gavin,Daniels,65,Mituk Lane,Ockegon,CA,86868,Phone,GREEN
111,Jeffrey,Curtis,36,Zaif Junction,Radasdu,CT,61305,Phone,GREEN
112,Luis,Day,23,Padifu Turnpike,Bimadza,OR,81304,Desktop,WHITE
113,Nannie,Holmes,27,Egvi Heights,Ogcocu,AZ,57524,Desktop,BLUE
114,Robert,Baker,47,Kuwdet Trail,Asvihan,MN,99215,Misc,RED
115,Estelle,Andrews,29,Cehdu Junction,Olaweca,TX,21972,Desktop,WHITE
116,Todd,Santos,45,Fajewa Drive,Onmueli,ND,35870,Phone,WHITE
117,Barry,Chambers,58,Raguc Turnpike,Detwovigu,RI,57709,Tablet,YELLOW
118,Myrtie,Sandoval,61,Ocuw Trail,Ipwavti,ND,86684,Laptop,WHITE
119,Stephen,Davidson,30,Nokzoh Grove,Ruisaag,TN,75327,Laptop,GREEN
120,George,Hale,46,Lecfed Lane,Suckofu,DE,28159,Laptop,YELLOW
121,Isaiah,Fernandez,28,Neic Heights,Dabcewja,WI,25327,Phone,BLUE
122,Roy,Chandler,36,Losroj Extension,Sozonepo,SD,00362,Misc,BLUE
123,Jacob,Keller,25,Wolpi Boulevard,Nagodu,MD,09184,Phone,RED
124,Eliza,Cain,61,Vojpub River,Keppojem,AR,95871,Phone,GREEN
125,Leroy,Pittman,56,Nisuj Court,Nopoeli,AK,20783,Misc,RED
126,Timothy,Andrews,27,Dabko Way,Sourwo,RI,61375,Desktop,BLUE
127,Marion,Pittman,26,Nohod Square,Wekonga,SD,61607,Desktop,YELLOW
128,Grace,Elliott,25,Ibatu Lane,Filkoloci,CT,60398,Laptop,YELLOW
129,Pauline,Webb,40,Badeb Park,Unzafek,MS,97954,Tablet,GREEN
130,Derrick,Ballard,36,Zufzon Pike,Rotegba,TX,50608,Desktop,BLUE
131,Annie,Holland,19,Poreg Place,Egaciuce,AK,47376,Misc,WHITE
132,Lottie,Pierce,27,Ewca Terrace,Tahwilfir,OH,39142,Phone,RED
133,Adeline,Bowman,52,Noraz Manor,Zonvamre,LA,94015,Misc,YELLOW
134,Lydia,Marsh,45,Wola Loop,Seiwjab,CO,27624,Tablet,RED
135,Mattie,Perry,41,Mubjiz Mill,Agsatmo,IA,74976,Laptop,BLUE
136,Maggie,Perez,34,Hucvev Plaza,Bumedlo,IN,48999,Misc,YELLOW
137,Kathryn,Quinn,36,Vukgeg Parkway,Dugazwa,WV,17605,Desktop,GREEN
138,Inez,Bates,48,Nugci View,Iduzoci,WI,28885,Laptop,RED
139,Joshua,Johnson,43,Orape Terrace,Detwebuc,IL,07217,Phone,YELLOW
140,Garrett,Abbott,51,Tanma Manor,Italofes,HI,27654,Laptop,RED
141,Jeff,Cook,59,Weka Point,Dumezraj,FL,21606,Desktop,YELLOW
142,Sarah,Parsons,23,Tezve River,Ahpumiko,AK,37470,Misc,YELLOW
143,Norman,Guzman,64,Towub Avenue,Gatkiwmop,IN,21988,Misc,BLUE
144,Georgie,Walsh,29,Azpu Center,Kuwsasib,KS,64868,Tablet,GREEN
145,Bertha,Long,43,Uwker Drive,Ibizurlaj,WY,41240,Phone,BLUE
146,Ivan,Mendoza,18,Gapole Street,Wufjuhtaw,OK,72035,Misc,BLUE
147,Adelaide,Simpson,47,Ojile Avenue,Refuvnad,LA,86324,Phone,WHITE
148,Luella,Gonzales,18,Muovu Path,Nazuje,NH,73414,Laptop,YELLOW
149,Susie,Alvarez,43,Ebojan Key,Ifaaravuk,DE,37117,Tablet,GREEN
150,Alta,Estrada,59,Gijlil Center,Ribmocla,DC,05709,Tablet,RED
151,Lilly,Ellis,42,Luiti Center,Ojouvus,WY,15192,Tablet,YELLOW
152,Pearl,Gill,40,Apefu Drive,Biedwir,VA,44551,Tablet,YELLOW
153,Douglas,Richardson,52,Tirip Manor,Tulzomrap,GA,65669,Desktop,WHITE
154,Mason,Watts,38,Tehecu Turnpike,Boihujoj,VA,86518,Misc,YELLOW
155,Jeffery,Hart,47,Ukato Boulevard,Bopobri,OH,92534,Desktop,RED
156,Flora,Berry,47,Fipjul Avenue,Pizewoz,NH,28170,Tablet,BLUE
157,Douglas,Bryan,31,Sibot Extension,Baratavu,UT,03258,Phone,BLUE
158,Tom,Huff,28,Ojvi Mill,Vadadod,OK,73531,Tablet,GREEN
159,Jordan,Medina,25,Aseg Ridge,Dijipaeji,DC,29317,Desktop,BLUE
160,Leila,Ford,52,Zober View,Naztamezu,SD,80843,Desktop,RED
161,Tony,Patterson,31,Japka Point,Lebasike,DE,83646,Laptop,BLUE
162,Harry,Howard,47,Jazi Extension,Dushugmob,KS,03083,Misc,RED
163,Rena,Roberson,34,Rodza Junction,Gocazge,WV,75394,Desktop,BLUE
164,Emily,Doyle,61,Divos Lane,Kelmulguc,AZ,56990,Misc,WHITE
165,Alex,Gibbs,21,Kegfa Extension,Muowufab,IL,49247,Phone,YELLOW
166,Linnie,Turner,21,Hizzan Place,Hevuru,NJ,95705,Misc,YELLOW
167,Roy,Paul,36,Tiwhi Park,Belopij,AL,65559,Desktop,GREEN
168,Duane,Lane,34,Wafudu Circle,Ehjoliv,TX,25958,Desktop,WHITE
169,Calvin,Walters,65,Zomi Highway,Paibdob,NM,78528,Phone,YELLOW
170,Minnie,Becker,63,Guheji Heights,Hoahram,SD,35059,Phone,YELLOW
171,Belle,Cook,55,Jimo Terrace,Satibag,IA,81682,Phone,YELLOW
172,Bettie,Wilkins,57,Rinub Path,Didcorer,CT,84019,Desktop,YELLOW
173,Francisco,Bailey,57,Isre Manor,Unoohepan,TN,99576,Misc,WHITE
174,Charlie,Banks,61,Toruk Grove,Codomud,MI,25472,Desktop,GREEN
175,Edgar,Powell,35,Kuaj Lane,Metohvu,AZ,47968,Desktop,YELLOW
176,Ralph,Sims,54,Bubof Square,Zuwfovnig,IA,74644,Laptop,BLUE
177,Bettie,Hale,46,Limom River,Hiarazi,NH,19021,Misc,BLUE
178,Warren,Cobb,48,Kofwob Heights,Kilanomu,ME,06743,Desktop,WHITE
179,Adelaide,Briggs,60,Abeamo Mill,Pajpipbov,FL,67240,Laptop,WHITE
180,Alberta,Mack,50,Obze River,Somlilkin,NJ,38265,Phone,BLUE
181,Kate,Miles,64,Wahe Pass,Duroforu,SC,50340,Phone,BLUE
182,Nancy,Murray,56,Dinzot Path,Fedifoj,TN,30612,Misc,WHITE
183,Alice,Fitzgerald,65,Roruv Square,Zuseleh,MI,19640,Tablet,GREEN
184,Gabriel,Pierce,37,Sotoc Junction,Ibsigul,WI,34436,Phone,YELLOW
185,Delia,McLaughlin,43,Dukloj Pass,Fazrawom,WA,73370,Phone,GREEN
186,Theodore,Padilla,41,Jacup Park,Dupfofak,AK,36550,Desktop,WHITE
187,Estelle,Nelson,26,Tawpuv Highway,Combodvak,SC,54736,Laptop,YELLOW
188,Timothy,Gomez,45,Melhuh Road,Odagozgev,UT,93930,Laptop,RED
189,Ivan,Barnes,31,Zekwaw Glen,Zipento,SD,23059,Tablet,YELLOW
190,Winnie,McGee,50,Effog Glen,Mawloge,DE,53800,Laptop,GREEN
191,Roy,Brock,62,Hakhas Court,Gawamput,KY,85449,Phone,WHITE
192,Steven,Simpson,51,Mubpok Way,Jilparwu,KS,12148,Laptop,YELLOW
193,Oscar,Reid,45,Kojlop Junction,Peipaji,NH,53965,Misc,BLUE
194,Mitchell,Lane,49,Vuwgew Path,Lufafim,NH,59058,Desktop,BLUE
195,Glen,Obrien,41,Sadluk Ridge,Mocluhwe,MT,33622,Misc,BLUE
196,Louisa,Larson,22,Rukit Grove,Hazagra,NM,98071,Laptop,BLUE
197,Earl,Nash,30,Hokewu Square,Zemesma,CA,33647,Phone,YELLOW
198,Timothy,Schultz,30,Zifu Avenue,Zobucaw,OK,52751,Desktop,YELLOW
199,Kate,Yates,62,Hopzu Loop,Wamuro,IN,68037,Laptop,YELLOW
200,Barbara,Rowe,56,Cukti Square,Mecteze,ME,86870,Laptop,BLUE
201,Elizabeth,Mack,42,Ruvu Loop,Refmafo,PA,00824,Misc,GREEN
202,Stephen,Martinez,42,Niil Grove,Sedmehub,OK,48406,Tablet,WHITE
203,Julia,Scott,21,Jope Parkway,Zimize,VT,74636,Laptop,BLUE
204,Ruby,Rivera,43,Rabip Boulevard,Tofzigih,OR,04206,Laptop,WHITE
205,Noah,Morgan,44,Moaci Ridge,Kosocol,IN,65989,Misc,RED
206,Ruth,Benson,58,Naczo Trail,Vaneczeb,WI,77310,Tablet,WHITE
207,Beatrice,Andrews,63,Fuadu Loop,Miotwo,RI,57074,Tablet,BLUE
208,Ray,Alexander,55,Fuzwed Circle,Koawwe,WV,36908,Desktop,BLUE
209,Walter,Hall,47,Utenap Grove,Vucikseb,WA,93940,Tablet,YELLOW
210,Leo,Rogers,43,Tabag Ridge,Nusijin,TN,68609,Phone,WHITE
211,Jayden,Flowers,65,Mokve Key,Kenehgi,MI,71483,Misc,RED
212,Olga,McLaughlin,52,Emizi Boulevard,Unicavhi,KS,82291,Tablet,YELLOW
213,Louisa,Hughes,59,Wewko Drive,Cemzepna,NC,85981,Phone,BLUE
214,Jessie,Delgado,64,Winde Loop,Pusaku,OH,47647,Laptop,WHITE
215,Alan,Freeman,35,Goub Terrace,Cirtair,DE,36637,Tablet,BLUE
216,Vera,Ramsey,34,Rafhu Plaza,Zuvewwe,TN,35605,Desktop,BLUE
217,Sean,Richardson,26,Cenpe Grove,Saocifom,VT,25454,Phone,GREEN
218,Jay,Bowen,47,Vebo Terrace,Aholefi,DC,14878,Tablet,GREEN
219,Caroline,Patton,49,Rohuh Drive,Gicafubim,MI,78073,Tablet,GREEN
220,Max,Hardy,53,Osiju Manor,Fofzobe,ND,39953,Phone,GREEN
221,Gene,Patrick,19,Zaefe Key,Tunawvi,NE,08960,Desktop,GREEN
222,Russell,Peterson,38,Rafjej Junction,Ralihim,PA,99194,Misc,RED
223,Gavin,Fox,55,Ogge Circle,Hufpeju,UT,95453,Desktop,GREEN
224,Joshua,Cain,63,Zagtu Boulevard,Fozohat,CO,63414,Tablet,WHITE
225,Lloyd,Conner,23,Lewal Plaza,Petevwal,NM,34514,Phone,WHITE
226,Lewis,Chapman,48,Laapa Glen,Agabba,NE,77139,Laptop,GREEN
227,Adelaide,Black,48,Ziluw Park,Zumasti,NE,47019,Desktop,GREEN
228,Earl,Clark,51,Zuloj Mill,Etoenonu,CT,59952,Laptop,WHITE
229,Lottie,French,56,Coso Lane,Pufabi,DC,88163,Desktop,YELLOW
230,Phillip,Marsh,53,Uwgi Avenue,Goraopu,NM,74462,Desktop,GREEN
231,Della,Hoffman,50,Terjuc Path,Tiizjeg,WI,75258,Tablet,WHITE
232,Mollie,McLaughlin,28,Nutfa Path,Ubodareku,NY,62864,Laptop,WHITE
233,Minerva,Russell,39,Puwfi Terrace,Bevedoutu,MN,63688,Misc,YELLOW
234,Adele,Hoffman,59,Uvper Junction,Tezospo,GA,14295,Misc,BLUE
235,Iva,Richards,51,Usika Boulevard,Rovvebzej,WA,51665,Laptop,RED
236,Lydia,Lloyd,33,Lemnuk Pike,Komwedu,KY,93330,Laptop,GREEN
237,Marian,Foster,41,Hozep Pass,Befigiw,UT,88795,Tablet,BLUE
238,Emma,Morris,57,Lapwa Extension,Judvavudi,WV,67044,Desktop,YELLOW
239,Jared,Moreno,58,Fugol Grove,Iphenob,CA,93538,Tablet,GREEN
240,Jonathan,Nash,57,Gujwo Way,Ipwasid,NY,63906,Misc,YELLOW
241,Esther,Kennedy,41,Zaksa Parkway,Abaofozij,AR,47991,Laptop,RED
242,Mario,Lee,62,Zegev Mill,Diflazbut,WA,68060,Phone,YELLOW
243,Grace,Abbott,64,Buhbab Loop,Tuwici,TX,74709,Laptop,BLUE
244,Francisco,West,54,Rizza Square,Cinubora,AL,02497,Desktop,RED
245,Jon,Phillips,22,Buro Parkway,Ejhokmo,NC,45900,Phone,RED
246,Lewis,Walton,65,Lajsaw Key,Lekihiilo,WY,03089,Desktop,YELLOW
247,Gussie,Goodwin,20,Peovu Path,Oflidojo,NV,67536,Phone,WHITE
248,Lulu,Coleman,36,Rejot Street,Roulfav,WV,14409,Laptop,RED
249,Cole,Graham,34,Lamve Pike,Newuce,NM,60852,Laptop,GREEN
250,George,Waters,24,Guboda Lane,Cazenzol,KS,70554,Misc,GREEN
251,Florence,Miller,35,Voban Court,Rujzadvi,AZ,87234,Misc,WHITE
252,Henrietta,Stevenson,36,Fukzit Mill,Bahulub,GA,99871,Desktop,WHITE
253,Cecelia,Webb,53,Jode Key,Ovduefu,WV,18664,Laptop,BLUE
254,Olive,Dawson,41,Niwu Drive,Rodzuvoj,OK,15672,Phone,WHITE
255,Ella,Neal,18,Noaru Boulevard,Neiwoto,KS,06809,Desktop,RED
256,Jordan,Johnson,35,Tumvew Drive,Roocicuc,ID,01598,Desktop,RED
257,Oscar,Waters,52,Zoje River,Edefofku,ME,24920,Tablet,GREEN
258,Bessie,Gordon,46,Werita Street,Novedfe,OR,76320,Desktop,BLUE
259,Keith,Reeves,26,Tuwe Square,Linigiupa,MA,66746,Misc,YELLOW
260,Lydia,Keller,30,Falar Parkway,Jefvamrat,AK,25169,Phone,BLUE
261,Stephen,Bowen,31,Loswo View,Huehgic,CT,49156,Tablet,WHITE
262,Rhoda,Bates,29,Kodezi Lane,Ramwahpil,CT,01303,Desktop,BLUE
263,Lewis,Armstrong,35,Anve Extension,Firwado,SC,56626,Phone,RED
264,Jeffrey,Nguyen,44,Rifo Heights,Caltifdog,OR,93652,Tablet,GREEN
265,Martha,Spencer,24,Zevan Way,Arecepde,NM,42661,Tablet,WHITE
266,Eric,McKenzie,64,Isidob Grove,Mijagoref,OR,63442,Phone,RED
267,Dylan,Bates,30,Idso Manor,Vazbajij,KY,91731,Misc,WHITE
268,Verna,Bailey,21,Duzja Center,Ukivesez,ND,75601,Desktop,WHITE
269,Bradley,Alexander,36,Pecij Drive,Bihujub,OK,05426,Phone,YELLOW
270,Clara,Conner,46,Zogwo Avenue,Volifa,IN,55048,Laptop,WHITE
271,Alberta,Watson,57,Jazke Parkway,Firioje,AR,79549,Laptop,BLUE
272,Brian,Swanson,34,Picni Court,Vecovfid,SC,61694,Laptop,RED
273,Roger,Moran,26,Ogapeh Junction,Etokobbul,NJ,73346,Tablet,BLUE
274,Della,Horton,65,Sabpe Turnpike,Edavanol,ME,19449,Desktop,YELLOW
275,Jared,Palmer,61,Ekno River,Ocolovga,GA,81573,Tablet,RED
276,Scott,Estrada,30,Ruew Mill,Carzinafa,NC,34639,Laptop,WHITE
277,Lora,Thompson,54,Miku Loop,Futebta,VT,03976,Misc,BLUE
278,Gregory,Scott,38,Rupkom Point,Iweloiku,SD,96050,Desktop,YELLOW
279,Steve,Logan,60,Kefap Manor,Migheefe,DC,74281,Phone,WHITE
280,Blake,Schultz,31,Aloje Ridge,Cutjeuke,SD,95126,Laptop,YELLOW
281,Charlotte,Pope,40,Gioti Manor,Cofgiteni,GA,39748,Laptop,GREEN
282,Josephine,Owens,22,Ikioba Glen,Vafoveon,NM,39505,Laptop,YELLOW
283,Stella,Hopkins,19,Tapob Grove,Dubferaw,UT,18931,Phone,GREEN
284,Harold,Rowe,26,Fagse Center,Tubipbel,PA,45110,Tablet,YELLOW
285,Ricardo,Williams,37,Basgu Lane,Lajabefok,WA,86537,Phone,GREEN
286,Chris,Simon,51,Zuzel Parkway,Monucjal,KS,82717,Tablet,RED
287,Milton,Carroll,46,Jedwek Pike,Rijifdu,AR,74837,Desktop,GREEN
288,Russell,Perez,32,Cilbe Point,Lemkamo,MO,60581,Phone,BLUE
289,Clyde,Ball,27,Zegge Pike,Rudidi,AL,17263,Desktop,BLUE
290,Lucinda,Pearson,34,Nogsak Turnpike,Rogdeis,ID,08927,Tablet,BLUE
291,Beatrice,Crawford,27,Giktuf Lane,Tajanit,VT,61066,Tablet,YELLOW
292,Miguel,Parker,32,Liwen Circle,Tocaaza,MN,38337,Laptop,WHITE
293,Elmer,Daniels,64,Otego Way,Urtudde,VA,51763,Tablet,RED
294,Tillie,Bates,48,Owone Loop,Zumonkiv,CO,09052,Phone,BLUE
295,Nannie,Greene,44,Dahtec Square,Nufgapo,MT,42754,Phone,YELLOW
296,Hattie,Bell,19,Tarup Manor,Dihtihku,MN,99045,Laptop,GREEN
297,Minnie,Francis,59,Agvon Parkway,Vidotiis,CT,69734,Phone,RED
298,Hester,Dawson,22,Hiah Extension,Wautiver,MD,97421,Misc,GREEN
299,Tillie,Lyons,38,Rozfo Boulevard,Akgifap,KY,63474,Laptop,RED
300,Mayme,Wheeler,32,Ahpi Heights,Mefoowe,MA,97744,Misc,RED
301,Larry,Sanders,30,Aluwe Plaza,Zofturem,MO,79213,Laptop,GREEN
302,Nelle,Roberts,42,Meem Avenue,Aneigata,WY,74470,Tablet,BLUE
303,Inez,Mendez,46,Natu Place,Avepijom,PA,63262,Laptop,WHITE
304,Tony,Pierce,26,Noezo Plaza,Commetdi,PA,44856,Laptop,BLUE
305,Thomas,Butler,38,Weblem Parkway,Weftafa,IN,28857,Misc,BLUE
306,Bill,Willis,53,Valfar Park,Wokgafo,TX,76661,Desktop,WHITE
307,Evelyn,George,37,Gara Pass,Dokowte,TN,83895,Laptop,RED
308,Olga,Clayton,37,Pogak Mill,Hephionu,SC,70986,Tablet,YELLOW
309,Bertie,Bell,22,Ewgu Heights,Ifaafuwep,DE,16691,Misc,GREEN
310,Norman,McCarthy,44,Imuva Heights,Esidimap,DE,79608,Laptop,YELLOW
311,Leona,McCormick,48,Diga Court,Mavkuftiv,RI,13415,Desktop,WHITE
312,Travis,Alvarado,24,Kedaja Glen,Aldocjaj,WY,28757,Tablet,GREEN
313,Roger,Schneider,28,Nikazo Grove,Cidiwoti,CO,76826,Desktop,BLUE
314,Craig,Martinez,36,Ogabu Lane,Ubewiwza,NM,63613,Misc,WHITE
315,Philip,Barker,35,Tinzi Pike,Usnovpes,CO,99847,Phone,YELLOW
316,Iva,Thornton,27,Vidod View,Nugovow,AR,72387,Phone,YELLOW
317,Beatrice,Marsh,25,Bugba Park,Asjuwfid,NY,30938,Desktop,BLUE
318,Leah,Johnson,52,Hadwi Key,Uhazazjak,KS,90535,Misc,BLUE
